Entity,Code,Year,  (terawatt-hours),  (terawatt-hours)
Afghanistan,AFG,1949,0.040705,
Afghanistan,AFG,1950,0.113974001,
Afghanistan,AFG,1951,0.122115001,
Afghanistan,AFG,1952,0.138397001,
Afghanistan,AFG,1953,0.130256001,
Afghanistan,AFG,1954,0.122115001,
Afghanistan,AFG,1955,0.187243002,
Afghanistan,AFG,1956,0.187243002,
Afghanistan,AFG,1957,0.236089002,
Afghanistan,AFG,1958,0.276794003,
Afghanistan,AFG,1959,0.333781003,
Afghanistan,AFG,1960,0.390768004,
Afghanistan,AFG,1961,0.537306005,
Afghanistan,AFG,1962,0.911792009,
Afghanistan,AFG,1963,0.805959008,
Afghanistan,AFG,1964,0.919933009,
Afghanistan,AFG,1965,1.172304012,
Afghanistan,AFG,1966,1.318842013,
Afghanistan,AFG,1967,1.229291012,
Afghanistan,AFG,1968,1.01762501,
Afghanistan,AFG,1969,1.107176011,
Afghanistan,AFG,1970,1.335124013,
Afghanistan,AFG,1971,1.099035011,
Afghanistan,AFG,1972,0.578011006,
Afghanistan,AFG,1973,0.952497009,
Afghanistan,AFG,1974,0.936215009,
Afghanistan,AFG,1975,1.221150012,
Afghanistan,AFG,1976,1.302560013,
Afghanistan,AFG,1977,1.383970014,
Afghanistan,AFG,1978,1.774738017,
Afghanistan,AFG,1979,1.074612011,
Afghanistan,AFG,1980,0.767272965,
Afghanistan,AFG,1981,0.805959008,
Afghanistan,AFG,1982,0.934912466,
Afghanistan,AFG,1983,0.934912466,
Afghanistan,AFG,1984,0.954255458,
Afghanistan,AFG,1985,0.973598509,
Afghanistan,AFG,1986,1.031627545,
Afghanistan,AFG,1987,1.076761252,
Afghanistan,AFG,1988,0.889778759,
Afghanistan,AFG,1989,0.818854336,
Afghanistan,AFG,1990,0.677005551,
Afghanistan,AFG,1991,0.606081187,
Afghanistan,AFG,1992,0.281182988,
Afghanistan,AFG,1993,0.306844728,
Afghanistan,AFG,1994,0.33573027,
Afghanistan,AFG,1995,0.366550152,
Afghanistan,AFG,1996,0.399239858,
Afghanistan,AFG,1997,0.433412519,
Afghanistan,AFG,1998,0.457784737,
Afghanistan,AFG,1999,0.515985317,
Afghanistan,AFG,2000,0.550525141,
Afghanistan,AFG,2001,0.177127288,
Afghanistan,AFG,2002,0.143064334,
Afghanistan,AFG,2003,0.238440556,
Afghanistan,AFG,2004,0.231627978,
Afghanistan,AFG,2005,0.224815338,
Afghanistan,AFG,2006,0.238440556,
Afghanistan,AFG,2007,1.655458614,
Afghanistan,AFG,2008,2.363967643,
Afghanistan,AFG,2009,3.406293452,
Afghanistan,AFG,2010,4.939125529,
Afghanistan,AFG,2011,4.939125529,
Afghanistan,AFG,2012,5.109413767,
Afghanistan,AFG,2013,5.142743297,
Afghanistan,AFG,2014,5.176290241,
Albania,ALB,1946,0.065128001,
Albania,ALB,1948,0.016282,
Albania,ALB,1950,0.166890502,
Albania,ALB,1951,0.211666002,
Albania,ALB,1952,0.321569503,
Albania,ALB,1953,0.427402504,
Albania,ALB,1954,0.606504506,
Albania,ALB,1955,0.793747508,
Albania,ALB,1956,0.911792009,
Albania,ALB,1957,0.960638009,
Albania,ALB,1958,1.04204801,
Albania,ALB,1959,1.05833001,
Albania,ALB,1960,1.184515512,
Albania,ALB,1961,1.176374512,
Albania,ALB,1962,1.225220512,
Albania,ALB,1963,1.02576601,
Albania,ALB,1964,1.188586012,
Albania,ALB,1965,1.347335513,
Albania,ALB,1966,1.603777016,
Albania,ALB,1967,1.628200016,
Albania,ALB,1968,1.766597017,
Albania,ALB,1969,2.409736024,
Albania,ALB,1970,2.466723024,
Albania,ALB,1971,2.747587527,
Albania,ALB,1972,3.01217003,
Albania,ALB,1973,3.301175532,
Albania,ALB,1974,3.459925034,
Albania,ALB,1975,3.459925034,
Albania,ALB,1976,3.663450036,
Albania,ALB,1977,3.866975038,
Albania,ALB,1978,4.151910041,
Albania,ALB,1979,5.698700056,
Albania,ALB,1980,3.517068542,
Albania,ALB,1981,3.819665399,
Albania,ALB,1982,4.216513758,
Albania,ALB,1983,4.588559104,
Albania,ALB,1984,4.985407441,
Albania,ALB,1985,5.33264975,
Albania,ALB,1986,5.374814903,
Albania,ALB,1987,5.292964919,
Albania,ALB,1988,5.416980034,
Albania,ALB,1989,5.439302749,
Albania,ALB,1990,5.13422557,
Albania,ALB,1991,2.69608851,
Albania,ALB,1992,0.907790615,
Albania,ALB,1993,0.530784671,
Albania,ALB,1994,0.419543127,
Albania,ALB,1995,0.19842221,
Albania,ALB,1996,0.280274142,
Albania,ALB,1997,0.10156734,
Albania,ALB,1998,0.127609403,
Albania,ALB,1999,0.127610284,
Albania,ALB,2000,0.078128739,
Albania,ALB,2001,0.054690122,
Albania,ALB,2002,0.200530423,
Albania,ALB,2003,0.210947599,
Albania,ALB,2004,0.210947599,
Albania,ALB,2005,0.166674654,
Albania,ALB,2006,0.166674654,
Albania,ALB,2007,0.166674654,
Albania,ALB,2008,0.221364775,
Albania,ALB,2009,0.036460081,
Albania,ALB,2010,0.036460081,
Albania,ALB,2011,0.023438617,
Albania,ALB,2012,0.052085474,
Albania,ALB,2013,0.050131177,
Albania,ALB,2014,0.048016795,
Algeria,DZA,1917,0.016282,
Algeria,DZA,1918,0.04697357,
Algeria,DZA,1919,0.051980286,
Algeria,DZA,1920,0.055114571,
Algeria,DZA,1921,0.073269001,
Algeria,DZA,1922,0.073269001,
Algeria,DZA,1923,0.032564,
Algeria,DZA,1924,0.073269001,
Algeria,DZA,1925,0.081410001,
Algeria,DZA,1926,0.113974001,
Algeria,DZA,1927,0.170961002,
Algeria,DZA,1928,0.138397001,
Algeria,DZA,1929,0.130256001,
Algeria,DZA,1930,0.138397001,
Algeria,DZA,1931,0.170961002,
Algeria,DZA,1932,0.203525002,
Algeria,DZA,1933,0.244230002,
Algeria,DZA,1934,0.276794003,
Algeria,DZA,1935,0.309358003,
Algeria,DZA,1936,0.056987001,
Algeria,DZA,1937,0.113974001,
Algeria,DZA,1938,0.105833001,
Algeria,DZA,1939,0.154679002,
Algeria,DZA,1940,0.447755004,
Algeria,DZA,1941,0.651280006,
Algeria,DZA,1942,1.204868012,
Algeria,DZA,1943,0.952497009,
Algeria,DZA,1944,0.97692001,
Algeria,DZA,1945,1.318842013,
Algeria,DZA,1946,1.750315017,
Algeria,DZA,1947,1.677046017,
Algeria,DZA,1948,1.839866018,
Algeria,DZA,1949,2.157365021,
Algeria,DZA,1950,2.100378021,
Algeria,DZA,1951,2.01082702,
Algeria,DZA,1952,2.189929022,
Algeria,DZA,1953,2.401595024,
Algeria,DZA,1954,2.466723024,
Algeria,DZA,1955,2.450441024,
Algeria,DZA,1956,2.417877024,
Algeria,DZA,1957,1.921276019,
Algeria,DZA,1958,1.245573012,
Algeria,DZA,1959,0.99320201,
Algeria,DZA,1960,0.96877901,
Algeria,DZA,1961,0.537306005,
Algeria,DZA,1962,0.431473004,
Algeria,DZA,1963,0.309358003,
Algeria,DZA,1964,0.374486004,
Algeria,DZA,1965,0.366345004,
Algeria,DZA,1966,0.032564,
Algeria,DZA,1967,0.138397001,
Algeria,DZA,1969,0.154679002,
Algeria,DZA,1970,0.105833001,
Algeria,DZA,1971,0.113974001,
Algeria,DZA,1972,0.097692001,
Algeria,DZA,1973,0.105833001,
Algeria,DZA,1974,0.105833001,
Algeria,DZA,1975,0.097692001,
Algeria,DZA,1976,0.065128001,
Algeria,DZA,1977,0.048846,
Algeria,DZA,1978,0.040705,
Algeria,DZA,1979,0.040705,
Algeria,DZA,1980,0.050063539,
Algeria,DZA,1981,0.050063539,
Algeria,DZA,1982,0.050063539,
Algeria,DZA,1983,0.050063539,
Algeria,DZA,1984,0.050063539,
Algeria,DZA,1985,0.057215464,
Algeria,DZA,1986,0.064367389,
Algeria,DZA,1987,0.057215464,
Algeria,DZA,1988,0.071519314,
Algeria,DZA,1989,0.107279003,
Algeria,DZA,1990,0.071519314,
Algeria,DZA,1991,0.107279003,
Algeria,DZA,1992,0.107279003,
Algeria,DZA,1993,0.143038692,
Algeria,DZA,1994,0.143038692,
Algeria,DZA,1995,0.162478113,
Algeria,DZA,1996,0.08862445,
Algeria,DZA,1997,0.074938683,
Algeria,DZA,1998,0.054500408,
Algeria,DZA,1999,0.034062954,
Argentina,ARG,1939,0.006862863,
Argentina,ARG,1940,0.006862863,
Argentina,ARG,1941,0.006862863,
Argentina,ARG,1942,0.027451452,
Argentina,ARG,1943,0.061765768,
Argentina,ARG,1944,0.034314315,
Argentina,ARG,1945,0.020588589,
Argentina,ARG,1946,0.020588589,
Argentina,ARG,1947,0.096080083,
Argentina,ARG,1948,0.123531535,
Argentina,ARG,1949,0.123531535,
Argentina,ARG,1950,0.17843444,
Argentina,ARG,1951,0.274514523,
Argentina,ARG,1952,0.768640664,
Argentina,ARG,1953,0.569617635,
Argentina,ARG,1954,0.638246265,
Argentina,ARG,1955,0.933349377,
Argentina,ARG,1956,1.111783817,
Argentina,ARG,1957,1.585321369,
Argentina,ARG,1958,1.791207261,
Argentina,ARG,1959,2.065721783,
Argentina,ARG,1960,1.859835891,
Argentina,ARG,1961,2.333373443,
Argentina,ARG,1962,1.962778837,
Argentina,ARG,1963,1.420612655,
Argentina,ARG,1964,2.278470538,
Argentina,ARG,1965,2.566710787,
Argentina,ARG,1966,2.450042115,
Argentina,ARG,1967,2.779459542,
Argentina,ARG,1968,3.239271368,
Argentina,ARG,1969,3.520648754,
Argentina,ARG,1970,4.22752365,
Argentina,ARG,1971,4.337329459,
Argentina,ARG,1972,4.762826969,
Argentina,ARG,1973,3.10887697,
Argentina,ARG,1974,4.29615228,
Argentina,ARG,1975,3.44515726,
Argentina,ARG,1976,4.220660787,
Argentina,ARG,1977,3.657906015,
Argentina,ARG,1978,2.978482571,
Argentina,ARG,1979,4.98930145,
Argentina,ARG,1980,2.221756423,
Argentina,ARG,1981,2.837012065,
Argentina,ARG,1982,2.933857841,
Argentina,ARG,1983,2.768650309,
Argentina,ARG,1984,2.893980159,
Argentina,ARG,1985,2.278724518,
