Entity,Code,Year,Coal (% of total),Nuclear (Rate),Natural gas (Rate),Oil (Rate),Hydroelectric (Rate),Other renewables (excluding hydro) (Rate)
Albania,ALB,1971,0,0,0,42.8571428571429,57.1428571428571,0
Albania,ALB,1972,0,0,0,37.9310344827586,62.0689655172414,0
Albania,ALB,1973,0,0,0,33.7837837837838,66.2162162162162,0
Albania,ALB,1974,0,0,0,31.5789473684211,68.4210526315789,0
Albania,ALB,1975,0,0,0,28.0898876404494,71.9101123595506,0
Albania,ALB,1976,0,0,0,25.4901960784314,74.5098039215686,0
Albania,ALB,1977,0,0,0,23.4782608695652,76.5217391304348,0
Albania,ALB,1978,0,0,0,22.5806451612903,77.4193548387097,0
Albania,ALB,1979,0,0,0,21.1678832116788,78.8321167883212,0
Albania,ALB,1980,0,0,0,20.5921938088829,79.4078061911171,0
Albania,ALB,1981,0,0,0,18.6666666666667,81.3333333333333,0
Albania,ALB,1982,0,0,0,16.9986719787517,83.0013280212483,0
Albania,ALB,1983,0,0,0,15.3439153439153,84.6560846560847,0
Albania,ALB,1984,0,0,0,26.3115415657789,73.6884584342211,0
Albania,ALB,1985,0,0,0,32.3164918970448,67.6835081029552,0
Albania,ALB,1986,0,0,0,20.4661182922052,79.5338817077947,0
Albania,ALB,1987,0,0,0,23.7770193401593,76.2229806598407,0
Albania,ALB,1988,0,0,0,26.2299196787149,73.7700803212851,0
Albania,ALB,1989,0,0,0,25.3456221198157,74.6543778801843,0
Albania,ALB,1990,0,0,0,13.5922330097087,86.4077669902913,0
Albania,ALB,1991,0,0,0,7.85751702462022,92.1424829753798,0
Albania,ALB,1992,0,0,0,4.94991160872127,95.0500883912787,0
Albania,ALB,1993,0,0,0,6.09237744403514,93.9076225559649,0
Albania,ALB,1994,0,0,0,4.31362598325298,95.686374016747,0
Albania,ALB,1995,0,0,0,6.01386094343841,93.9861390565616,0
Albania,ALB,1996,0,0,0,4.27950518221331,95.7204948177867,0
Albania,ALB,1997,0,0,0,3.82555470543229,96.1744452945677,0
Albania,ALB,1998,0,0,0,3.67978077901742,96.3202192209826,0
Albania,ALB,1999,0,0,0,2.67084177564929,97.3291582243507,0
Albania,ALB,2000,0,0,0,3.8509836751779,96.1490163248221,0
Albania,ALB,2001,0,0,0,4.6916890080429,95.3083109919571,0
Albania,ALB,2002,0,0,0,6.04601391118245,93.9539860888176,0
Albania,ALB,2003,0,0,0,2.14342948717949,97.8565705128205,0
Albania,ALB,2004,0,0,0,2.49732429539779,97.5026757046022,0
Albania,ALB,2005,0,0,0,1.28605548410803,98.713944515892,0
Albania,ALB,2006,0,0,0,1.68356263577118,98.3164373642288,0
Albania,ALB,2007,0,0,0,2.51748251748252,97.4825174825175,0
Albania,ALB,2008,0,0,0,0,100,0
Albania,ALB,2009,0,0,0,0.0192233756247597,99.9807766243752,0
Albania,ALB,2010,0,0,0,0.0132135306553911,99.9867864693446,0
Albania,ALB,2011,0,0,0,1.4077785731329,98.5922214268671,0
Albania,ALB,2012,0,0,0,0,100,0
Albania,ALB,2013,0,0,0,0,100,0
Albania,ALB,2014,0,0,0,0,100,0
Albania,ALB,2015,0,,0,0,100,0
Algeria,DZA,1971,0,0,38.8515029161059,46.3436518618214,14.8048452220727,0
Algeria,DZA,1972,0,0,50.5336617405583,29.1461412151067,20.320197044335,0
Algeria,DZA,1973,0,0,54.9536707056308,18.2466143977192,26.79971489665,0
Algeria,DZA,1974,0,0,67.1121251629726,16.6883963494133,16.1994784876141,0
Algeria,DZA,1975,0,0,66.0055096418733,24.9586776859504,9.03581267217631,0
Algeria,DZA,1976,0,0,67.7449822904368,23.0696576151122,9.185360094451,0
Algeria,DZA,1977,0,0,70.1682484900777,24.0293356341674,5.80241587575496,0
Algeria,DZA,1978,0,0,76.0583941605839,19.3795620437956,4.56204379562044,0
Algeria,DZA,1979,0,0,83.1544563695754,12.3191787214186,4.52636490900607,0
Algeria,DZA,1980,0,0,84.1499368243717,12.2420328513267,3.60803032430156,0
Algeria,DZA,1981,0,0,83.4684352738885,12.0363547040039,4.49521002210759,0
Algeria,DZA,1982,0,0,82.2903363133248,12.6117496807152,5.09791400595998,0
Algeria,DZA,1983,0,0,85.9757291055001,11.724407907614,2.29986298688589,0
Algeria,DZA,1984,0,0,85.4408871400465,10.5169021641925,4.04221069576105,0
Algeria,DZA,1985,0,0,85.400032589213,9.33680951605019,5.26315789473684,0
Algeria,DZA,1986,0,0,88.8452353439643,9.22887296818427,1.92589168785148,0
Algeria,DZA,1987,0,0,87.4312215060525,8.64643923911335,3.92233925483415,0
Algeria,DZA,1988,0,0,90.7632822569096,7.92639266790778,1.31032507518259,0
Algeria,DZA,1989,0,0,91.1772383189768,7.347950926651,1.47481075437223,0
Algeria,DZA,1990,0,0,93.734475906607,5.42722305017387,0.838301043219076,0
Algeria,DZA,1991,0,0,93.9925050446815,4.31824733352551,1.68924762179302,0
Algeria,DZA,1992,0,0,94.6789893907908,4.23274636333807,1.08826424587116,0
Algeria,DZA,1993,0,0,94.9520964252601,3.22962810343051,1.81827547130936,0
Algeria,DZA,1994,0,0,95.3980787607504,3.76703716742946,0.834884071820148,0
Algeria,DZA,1995,0,0,95.6987065686026,3.32234339335531,0.9789500380421,0
Algeria,DZA,1996,0,0,95.7441657790259,3.60220780478358,0.653626416190568,0
Algeria,DZA,1997,0,0,95.8040656835838,3.84704842536168,0.348885891054566,0
Algeria,DZA,1998,0,0,95.6280629352592,3.44768291634425,0.924254148396527,0
Algeria,DZA,1999,0,0,96.4454497717817,2.73458011875429,0.81997010946399,0
Algeria,DZA,2000,0,0,96.745631984889,3.04186998268535,0.212498032425626,0
Algeria,DZA,2001,0,0,96.8300469483568,2.91079812206573,0.259154929577465,0
Algeria,DZA,2002,0,0,97.6345486111111,2.15928819444444,0.206163194444444,0
Algeria,DZA,2003,0,0,96.7806296709614,2.32322207568226,0.896148253356329,0
Algeria,DZA,2004,0,0,96.9984,2.1984,0.8032,0
Algeria,DZA,2005,0,0,96.24944714728,2.1141088014153,1.63644405130473,0
Algeria,DZA,2006,0,0,97.2520297507523,2.12910918071879,0.618861068528928,0
Algeria,DZA,2007,0,0,97.2577696526508,2.13463813313259,0.607592214216582,0
Algeria,DZA,2008,0,0,97.3282632468436,1.96838651953474,0.703350233621632,0
Algeria,DZA,2009,0,0,97.6286330225189,1.57658242643048,0.794784551050622,0
Algeria,DZA,2010,0,0,97.5116980802029,2.10784099357152,0.380460926225565,0
Algeria,DZA,2011,0,0,96.9350304544745,2.08496017491801,0.980009370607528,0
Algeria,DZA,2012,0,0,97.0712755022039,1.8450441660714,1.08368033172465,0
Algeria,DZA,2013,0,0,97.9428953080648,1.50609450659542,0.55101018533979,0
Algeria,DZA,2014,0,0,98.6115002646244,0.993119765885247,0.395379969490365,0
Algeria,DZA,2015,0,,98.357510392744,1.31980580830838,0.210761940754092,0.111921858193552
Angola,AGO,1971,0,0,0,18.4636118598383,81.5363881401617,0
Angola,AGO,1972,0,0,0,18.854415274463,81.145584725537,0
Angola,AGO,1973,0,0,0,17.2764227642276,82.7235772357724,0
Angola,AGO,1974,0,0,0,30.1871440195281,69.8128559804719,0
Angola,AGO,1975,0,0,0,27.2030651340996,72.7969348659004,0
Angola,AGO,1976,0,0,0,26.8376068376068,73.1623931623932,0
Angola,AGO,1977,0,0,0,26.8376068376068,73.1623931623932,0
Angola,AGO,1978,0,0,0,9.74358974358974,90.2564102564103,0
Angola,AGO,1979,0,0,0,11.9047619047619,88.0952380952381,0
Angola,AGO,1980,0,0,0,11.8518518518519,88.1481481481482,0
Angola,AGO,1981,0,0,0,11.8518518518519,88.1481481481482,0
Angola,AGO,1982,0,0,0,12.3611111111111,87.6388888888889,0
Angola,AGO,1983,0,0,0,26.1813537675607,73.8186462324393,0
Angola,AGO,1984,0,0,0,10.2985074626866,89.7014925373134,0
Angola,AGO,1985,0,0,0,13.0272952853598,86.9727047146402,0
Angola,AGO,1986,0,0,0,13.0272952853598,86.9727047146402,0
Angola,AGO,1987,0,0,0,13.4567901234568,86.5432098765432,0
Angola,AGO,1988,0,0,0,13.9877300613497,86.0122699386503,0
Angola,AGO,1989,0,0,0,13.3089133089133,86.6910866910867,0
Angola,AGO,1990,0,0,0,13.7931034482759,86.2068965517241,0
Angola,AGO,1991,0,0,0,17.3447537473233,82.6552462526767,0
Angola,AGO,1992,0,0,0,11.29883843717,88.70116156283,0
Angola,AGO,1993,0,0,0,6.31578947368421,93.6842105263158,0
Angola,AGO,1994,0,0,0,6.282722513089,93.717277486911,0
Angola,AGO,1995,0,0,0,6.25,93.75,0
Angola,AGO,1996,0,0,0,10.0194552529183,89.9805447470817,0
Angola,AGO,1997,0,0,0,23.6474694589878,76.3525305410122,0
Angola,AGO,1998,0,0,0,19.5751138088012,80.4248861911988,0
Angola,AGO,1999,0,0,0,33.0337078651685,66.9662921348315,0
Angola,AGO,2000,0,0,0,36.8858131487889,63.1141868512111,0
Angola,AGO,2001,0,0,0,37.9120879120879,62.0879120879121,0
Angola,AGO,2002,0,0,0,35.2407932011331,64.7592067988669,0
Angola,AGO,2003,0,0,0,37.7944862155388,62.2055137844612,0
